CODI,Castellà,Català,Tipus de contracte
72212317-4,Servicios de desarrollo de software de tratamiento de textos,Serveis de desenvolupament de programari de tractament de textos,Serveis
72212318-1,Servicios de desarrollo de software de escáner,Serveis de desenvolupament de programari d'escàner,Serveis
72212320-8,Servicios de desarrollo de software de dibujo y tratamiento de imágenes,Serveis de desenvolupament de programari de dibuix i tractament d'imatges,Serveis
72212321-5,Servicios de desarrollo de software de diseño asistido por ordenador (DAO),Serveis de desenvolupament de programari de disseny assistit per ordinador (DAO),Serveis
72212322-2,Servicios de desarrollo de software de gráficos,Serveis de desenvolupament de programari de gràfics,Serveis
72212323-9,Servicios de desarrollo de software de fabricación asistida por ordenador (FAO),Serveis de desenvolupament de programari de fabricació assistida per ordinador (FAO),Serveis
72212324-6,Servicios de desarrollo de software de trazado de diagramas,Serveis de desenvolupament de programari de traçat de diagrames,Serveis
72212325-3,Servicios de desarrollo de software de diseño de formularios,Serveis de desenvolupament de programari d'elaboració de formularis,Serveis
72212326-0,Servicios de desarrollo de software cartográfico,Serveis de desenvolupament de programari cartogràfic,Serveis
72212327-7,Servicios de desarrollo de software de dibujo y pintura,Serveis de desenvolupament de programari de dibuix i pintura,Serveis
72212328-4,Servicios de desarrollo de software de tratamiento de imágenes,Serveis de desenvolupament de programari de processament d'imatges,Serveis
72212330-1,Servicios de desarrollo de software de planificación y productividad,Serveis de desenvolupament de programari de planificació i productivitat,Serveis
72212331-8,Servicios de desarrollo de software de gestión de proyectos,Serveis de desenvolupament de programari de gestió de projectes,Serveis
72212332-5,Servicios de desarrollo de software de planificación,Serveis de desenvolupament de programari de planificació,Serveis
72212333-2,Servicios de desarrollo de software de gestión de contactos,Serveis de desenvolupament de programari de gestió de contactes,Serveis
72212400-3,Servicios de desarrollo de software de transacciones comerciales y personales,Serveis de desenvolupament de programari de transaccions comercials i personals,Serveis
72212410-6,Servicios de desarrollo de software de gestión de inversiones y elaboración de declaraciones fiscales,Serveis de desenvolupament de programari de gestió d'inversions i elaboració de declaracions fiscals,Serveis
72212411-3,Servicios de desarrollo de software de gestión de inversiones,Serveis de desenvolupament de programari de gestió d'inversions,Serveis
72212412-0,Servicios de desarrollo de software de elaboración de declaraciones fiscales,Serveis de desenvolupament de programari d'elaboració de declaracions fiscals,Serveis
72212420-9,"Servicios de desarrollo de software de la gestión de instalaciones y ""suite"" de servicios de desarrollo de software",Serveis de desenvolupament de programari de gestió d'instal·lacions i paquets ofimàtics,Serveis
72212421-6,Servicios de desarrollo de software de gestión de instalaciones,Serveis de desenvolupament de programari de gestió d'instal·lacions,Serveis
72212422-3,"""Suites"" de servicios de desarrollo de software",Serveis de desenvolupament de paquets ofimàtics,Serveis
72212430-2,Servicios de desarrollo de software de gestión de inventarios,Serveis de desenvolupament de programari de gestió d'inventaris,Serveis
72212440-5,Servicios de desarrollo de software de análisis financiero y contabilidad,Serveis de desenvolupament de programari d'anàlisi financera i comptabilitat,Serveis
72212441-2,Servicios de desarrollo de software de análisis financiero,Serveis de desenvolupament de programari d'anàlisi financera,Serveis
72212442-9,Servicios de desarrollo de software de sistemas financieros,Serveis de desenvolupament de programari de sistemes financers,Serveis
72212443-6,Servicios de desarrollo de software de contabilidad,Serveis de desenvolupament de programari de comptabilitat,Serveis
72212445-0,Servicios de desarrollo de software de gestión de relaciones con el consumidor,Serveis de desenvolupament de programari de gestió de relacions amb el consumidor,Serveis
72212450-8,Servicios de desarrollo de software de contabilización del tiempo o recursos humanos,Serveis de desenvolupament de programari de gestió del temps o de recursos humans,Serveis
72212451-5,Servicios de desarrollo de software de planificación de recursos empresariales,Serveis de desenvolupament de programari de planificació de recursos empresarials,Serveis
72212460-1,"Servicios de desarrollo de software analítico, científico, matemático o predictivo",Serveis de desenvolupament de programari analític o científic i matemàtic o predictiu,Serveis
72212461-8,Servicios de desarrollo de software analítico o científico,Serveis de desenvolupament de programari analític o científic,Serveis
72212462-5,Servicios de desarrollo de software matemático o predictivo,Serveis de desenvolupament de programari matemàtic o predictiu,Serveis
72212463-2,Servicios de desarrollo de software estadístico,Serveis de desenvolupament de programari estadístic,Serveis
72212470-4,Servicios de desarrollo de software de subastas,Serveis de desenvolupament de programari de subhastes,Serveis
72212480-7,"Servicios de desarrollo de software de ventas, mercadotecnia e inteligencia empresarial",Serveis de desenvolupament de programari de vendes o màrqueting i d'intel·ligència empresarial,Serveis
72212481-4,Servicios de desarrollo de software de ventas y mercadotecnia,Serveis de desenvolupament de programari de vendes o màrqueting,Serveis
72212482-1,Servicios de desarrollo de software de inteligencia empresarial,Serveis de desenvolupament de programari d'intel·ligència empresarial,Serveis
72212490-0,Servicios de desarrollo de software de contratación administrativa,Serveis de desenvolupament de programari de contractació,Serveis
72212500-4,Servicios de desarrollo de software de comunicación y multimedia,Serveis de desenvolupament de programari de comunicació i multimèdia,Serveis
72212510-7,Servicios de desarrollo de software de comunicación,Serveis de desenvolupament de programari de comunicació,Serveis
72212511-4,Servicios de desarrollo de software de comunicaciones de escritorio,Serveis de desenvolupament de programari de comunicació electrònica,Serveis
72212512-1,Servicios de desarrollo de software de respuesta vocal interactiva,Serveis de desenvolupament de programari de resposta interactiva de veu,Serveis
72212513-8,Servicios de desarrollo de software de módem,Serveis de desenvolupament de programari de mòdem,Serveis
72212514-5,Servicios de desarrollo de software de acceso remoto,Serveis de desenvolupament de programari d'accés remot,Serveis
72212515-2,Servicios de desarrollo de software de videoconferencia,Serveis de desenvolupament de programari de videoconferència,Serveis
72212516-9,Servicios de desarrollo de software de intercambio,Serveis de desenvolupament de programari d'intercanvi,Serveis
72212517-6,Servicios de desarrollo de software de TI,Serveis de desenvolupament de programari de TI,Serveis
72212518-3,Servicios de desarrollo de software de emulación,Serveis de desenvolupament de programari d'emulació,Serveis
72212519-0,Servicios de desarrollo de software de gestión de memoria,Serveis de desenvolupament de programari de gestió de memòria,Serveis
72212520-0,Servicios de desarrollo de software multimedia,Serveis de desenvolupament de programari multimèdia,Serveis
72212521-7,Servicios de desarrollo de software de edición de música o sonido,Serveis de desenvolupament de programari d'edició de música o so,Serveis
72212522-4,Servicios de desarrollo de software de teclado virtual,Serveis de desenvolupament de programari de teclat virtual,Serveis
72212600-5,Servicios de desarrollo de software de bases de datos y de funcionamiento,Serveis de desenvolupament de programari de bases de dades i de funcionament,Serveis
72212610-8,Servicios de desarrollo de software de bases de datos,Serveis de desenvolupament de programari de bases de dades,Serveis
72212620-1,Servicios de desarrollo de software del sistema operativo de la unidad central,Serveis de desenvolupament de programari de sistema operatiu d'ordinador central,Serveis
72212630-4,Servicios de desarrollo de software de sistema operativo de miniordenador,Serveis de desenvolupament de programari de sistema operatiu de miniordinador,Serveis
72212640-7,Servicios de desarrollo de software de sistema operativo de microordenador,Serveis de desenvolupament de programari de sistema operatiu de microordinador,Serveis
72212650-0,Servicios de desarrollo de software de sistema operativo de ordenador personal (PC),Serveis de desenvolupament de programari de sistema operatiu d'ordinador personal (PC),Serveis
72212660-3,Servicios de desarrollo de software de agrupamiento,Serveis de desenvolupament de programari de clusterització,Serveis
72212670-6,Servicios de desarrollo de software de sistema operativo de tiempo real,Serveis de desenvolupament de programari de sistema operatiu en temps real,Serveis
72212700-6,Utilidades de servicios de desarrollo de software,Utilitats de serveis de desenvolupament de paquets de programes,Serveis
72212710-9,Servicios de desarrollo de software de copia de seguridad o recuperación,Serveis de desenvolupament de programari de còpia de seguretat o recuperació,Serveis
72212720-2,Servicios de desarrollo de software de código de barras,Serveis de desenvolupament de programari de codi de barres,Serveis
72212730-5,Servicios de desarrollo de software de seguridad,Serveis de desenvolupament de programari de seguretat,Serveis
72212731-2,Servicios de desarrollo de software de seguridad de archivos,Serveis de desenvolupament de programari de seguretat d'arxius,Serveis
72212732-9,Servicios de desarrollo de software de seguridad de datos,Serveis de desenvolupament de programari de seguretat de dades,Serveis
72212740-8,Servicios de desarrollo de software de traducción de lenguas extranjeras,Serveis de desenvolupament de programari de traducció de llengües estrangeres,Serveis
72212750-1,Servicios de desarrollo de software de carga de medios de almacenamiento,Serveis de desenvolupament de programari de càrrega de mitjans d'emmagatzematge,Serveis
72212760-4,Servicios de desarrollo de software de protección antivirus,Serveis de desenvolupament de programari de protecció antivirus,Serveis
72212761-1,Servicios de desarrollo de software antivirus,Serveis de desenvolupament de programari antivirus,Serveis
72212770-7,"Servicios de desarrollo de software de utilidades generales, de compresión y de impresión","Serveis de desenvolupament de programari d'utilitats generals, de compressió i d'impressió",Serveis
72212771-4,Servicios de desarrollo de software de utilidades generales,Serveis de desenvolupament de programari d'utilitats generals,Serveis
72212772-1,Servicios de desarrollo de software de utilidades de impresión,Serveis de desenvolupament de programari d'utilitats d'impressió,Serveis
72212780-0,"Servicios de desarrollo de software de gestión de sistemas, almacenamiento y contenido","Serveis de desenvolupament de programari de gestió de sistemes, d'emmagatzematge i de continguts",Serveis
72212781-7,Servicios de desarrollo de software de gestión de sistemas,Serveis de desenvolupament de programari de gestió de sistemes,Serveis
72212782-4,Servicios de desarrollo de software de gestión de almacenamiento,Serveis de desenvolupament de programari de gestió d'emmagatzematge,Serveis
72212783-1,Servicios de desarrollo de software de gestión de contenido,Serveis de desenvolupament de programari de gestió de continguts,Serveis
72212790-3,Servicios de desarrollo de software de comprobación de versiones,Serveis de desenvolupament de programari de comprovació de versions,Serveis
72212900-8,Servicios de desarrollo de software y sistemas informáticos diversos,Serveis de desenvolupament de programari i sistemes informàtics diversos,Serveis
72212910-1,"Servicios de desarrollo de software de juegos informáticos, títulos para toda la familia y salvapantallas","Serveis de desenvolupament de programari de jocs informàtics, jocs per a tota la família i estalvis de pantalla",Serveis
72212911-8,Servicios de desarrollo de software de juegos informáticos,Serveis de desenvolupament de programari de jocs informàtics,Serveis
72212920-4,Servicios de desarrollo de software ofimático,Serveis de desenvolupament de programari ofimàtic,Serveis
72212930-7,Servicios de desarrollo de software de formación y entretenimiento,Serveis de desenvolupament de programari de formació i lúdic,Serveis
72212931-4,Servicios de desarrollo de software de formación,Serveis de desenvolupament de programari de formació,Serveis
72212932-1,Servicios de desarrollo de software de entretenimiento,Serveis de desenvolupament de programari lúdic,Serveis
72212940-0,Servicios de desarrollo de software de diseños y calendario,Serveis de desenvolupament de programari de disseny de patrons i de calendaris,Serveis
72212941-7,Servicios de desarrollo de software de diseños,Serveis de desenvolupament de programari de disseny de patrons,Serveis
72212942-4,Servicios de desarrollo de software de calendario,Serveis de desenvolupament de programari de calendaris,Serveis
72212960-6,Servicios de desarrollo de software de controladores y sistemas,Serveis de desenvolupament de programes controladors i programari de sistemes,Serveis
72212970-9,Servicios de desarrollo de software para imprenta,Serveis de desenvolupament de programari per a impremtes,Serveis
72212971-6,Servicios de desarrollo de software de elaboración de libretas de direcciones,Serveis de desenvolupament de programari per crear llibretes d'adreces,Serveis
72212972-3,Servicios de desarrollo de software de elaboración de etiquetas,Serveis de desenvolupament de programari d'elaboració d'etiquetes,Serveis
72212980-2,Servicios de lenguajes de programación y de desarrollo de herramientas,Serveis de desenvolupament de llenguatges i eines de programació,Serveis
72212981-9,Servicios de desarrollo de software de compilación,Serveis de desenvolupament de programari de compilació,Serveis
72212982-6,Servicios de desarrollo de software de gestión de la configuración,Serveis de desenvolupament de programari de gestió de la configuració,Serveis
72212983-3,Servicios de desarrollo de software de desarrollo,Serveis de desenvolupament de programari de desenvolupament,Serveis
72212984-0,Servicios de desarrollo de software de ensayo de programas,Serveis de desenvolupament de programari d'assaig de programes,Serveis
72212985-7,Servicios de desarrollo de software de depuración,Serveis de desenvolupament de programari de depuració,Serveis
72212990-5,Servicios de desarrollo de software de hoja de cálculo y mejora de hoja de cálculo,Serveis de desenvolupament de programari de fulls de càlcul i de millora de fulls de càlcul,Serveis
72212991-2,Servicios de desarrollo de software de hoja de cálculo,Serveis de desenvolupament de programari de fulls de càlcul,Serveis
72220000-3,Servicios de consultoría en sistemas y consultoría técnica,Serveis d'assessorament en sistemes i consultoria tècnica,Serveis
72221000-0,Servicios de consultoría en análisis empresarial,Serveis d'assessorament en anàlisi empresarial,Serveis
72222000-7,Servicios de planificación y revisión estratégica de sistemas de información o de tecnología de la información,Serveis de planificació i revisió estratègica de sistemes d'informació o de tecnologies de la informació,Serveis
72222100-8,Servicios de revisión estratégica de sistemas de información o de tecnología de la información,Serveis de revisió estratègica de sistemes d'informació o de tecnologies de la informació,Serveis
72222200-9,Servicios de planificación de sistemas de información o de tecnología de la información,Serveis de planificació de sistemes d'informació o de tecnologies de la informació,Serveis
72222300-0,Servicios de tecnología de la información,Serveis de tecnologies de la informació,Serveis
72223000-4,Servicios de revisión de las exigencias de tecnología de la información,Serveis de revisió de les exigències de les tecnologies de la informació,Serveis
72224000-1,Servicios de consultoría en gestión de proyectos,Serveis d'assessorament en gestió de projectes,Serveis
72224100-2,Servicios de planificación de la implementación de sistemas,Serveis de planificació de la implementació de sistemes,Serveis
72224200-3,Servicios de planificación de la garantía de calidad del sistema,Serveis de planificació de la garantia de qualitat dels sistemes,Serveis
72225000-8,Servicios de evaluación y revisión de la garantía de calidad del sistema,Serveis d'avaluació i revisió de la garantia de qualitat dels sistemes,Serveis
72226000-5,Servicios de consultoría en pruebas de aceptación del software del sistema,Serveis d'assessorament en les proves d'acceptació dels programes de sistemes,Serveis
72227000-2,Servicios de consultoría en integración de software,Serveis d'assessorament en integració de programes informàtics,Serveis
72228000-9,Servicios de consultoría en integración del equipo informático,Serveis d'assessorament en integració de maquinari,Serveis
72230000-6,Servicios de desarrollo de software personalizado,Serveis de desenvolupament de programari personalitzat,Serveis
72231000-3,Desarrollo de software para aplicaciones militares,desenvolupament de programari per a aplicacions militars,Serveis
72232000-0,Desarrollo de software de procesamiento de transacciones y software personalizado,Desenvolupament de programari de processament de transaccions i programari personalitzat,Serveis
72240000-9,Servicios de análisis de sistemas y de programación,Serveis d'anàlisi de sistemes i de programació,Serveis
72241000-6,Servicios de especificación de objetivos de diseños críticos,Serveis d'especificació d'objectius de dissenys crítics,Serveis
72242000-3,Servicios de modelado de diseños,Serveis de modelització de dissenys,Serveis
72243000-0,Servicios de programación,Serveis de programació,Serveis
72244000-7,Servicios de creación de prototipos,Serveis de creació de prototips,Serveis
72245000-4,Servicios contractuales de programación y análisis de sistemas,Serveis contractuals de programació i anàlisi de sistemes,Serveis
72246000-1,Servicios de consultoría en sistemas,Serveis d'assessorament en sistemes,Serveis
72250000-2,Servicios de sistemas y apoyo,Serveis de sistemes i de suport,Serveis
72251000-9,Servicios de recuperación en caso de catástrofe,Serveis de recuperació en cas de catàstrofe,Serveis
72252000-6,Servicios de archivo informático,Serveis d'arxiu informàtic,Serveis
72253000-3,Servicios de unidad de asistencia y de apoyo,Serveis d'assistència a l'usuari i de suport de sistemes,Serveis
72253100-4,Servicios de unidad de asistencia,Serveis d'assistència a l'usuari,Serveis
72253200-5,Servicios de apoyo a sistemas,Serveis de suport de sistemes,Serveis
72254000-0,Ensayo de software,Assaig de programari,Serveis
72254100-1,Servicios de prueba de sistemas,Serveis de proves de sistemes,Serveis
72260000-5,Servicios relacionados con el software,Serveis relacionats amb el programari,Serveis
72261000-2,Servicios de apoyo al software,Serveis de suport al programari,Serveis
72262000-9,Servicios de desarrollo de software,Serveis de desenvolupament de programari,Serveis
72263000-6,Servicios de implementación de software,Serveis d'implementació de programari,Serveis
72264000-3,Servicios de reproducción de software,Serveis de reproducció de programari,Serveis
72265000-0,Servicios de configuración de software,Serveis de configuració de programari,Serveis
72266000-7,Servicios de consultoría en software,Serveis d'assessorament en programari,Serveis
72267000-4,Servicios de mantenimiento y reparación de software,Serveis de manteniment i reparació de programari,Serveis
72267100-0,Mantenimiento de software de tecnología de la información,Manteniment de programari de tecnologies de la informació,Serveis
72267200-1,Reparación de software de tecnología de la información,Reparació de programari de tecnologies de la informació,Serveis
72268000-1,Servicios de suministro de software,Serveis de subministrament de programari,Serveis
72300000-8,Servicios relacionados con datos,Serveis relacionats amb dades,Serveis
72310000-1,Servicios de tratamiento de datos,Serveis de processament de dades,Serveis
72311000-8,Servicios de tabulación de datos,Serveis de tabulació de dades,Serveis
72311100-9,Servicios de conversión de datos,Serveis de conversió de dades,Serveis
72311200-0,Servicios de procesamiento por lotes,Serveis de processament per lots,Serveis
72311300-1,Servicios informáticos de tiempo compartido,Serveis informàtics en temps compartit,Serveis
72312000-5,Servicios de introducción de datos,Serveis d'introducció de dades,Serveis
72312100-6,Servicios de preparación de datos,Serveis de preparació de dades,Serveis
72312200-7,Servicios de reconocimiento óptico de caracteres,Serveis de reconeixement òptic de caràcters,Serveis
72313000-2,Servicios de recogida de datos,Serveis de recollida de dades,Serveis
72314000-9,Servicios de recogida e intercalación de datos,Serveis de recollida i confrontació de dades,Serveis
72315000-6,Servicios de gestión de redes de datos y servicios de apoyo,Serveis de suport a xarxes de dades i serveis de gestió de xarxes de dades,Serveis
72315100-7,Servicios de apoyo a redes de datos,Serveis de suport a xarxes de dades,Serveis
72315200-8,Servicios de gestión de redes de datos,Serveis de gestió de xarxes de dades,Serveis
72316000-3,Servicios de análisis de datos,Serveis d'anàlisi de dades,Serveis
72317000-0,Servicios de almacenamiento de datos,Serveis d'emmagatzematge de dades,Serveis
72318000-7,Servicios de transmisión de datos,Serveis de transmissió de dades,Serveis
72319000-4,Servicios de suministro de datos,Serveis de subministrament de dades,Serveis
72320000-4,Servicios relacionados con bases de datos,Serveis relacionats amb bases de dades,Serveis
72321000-1,Servicios de bases de datos con valor añadido,Serveis de bases de dades amb valor afegit,Serveis
72322000-8,Servicios de gestión de datos,Serveis de gestió de dades,Serveis
72330000-2,Servicios de normalización y clasificación de contenidos o datos,Serveis de normalització i classificació de continguts o dades,Serveis
72400000-4,Servicios de Internet,Serveis d'Internet,Serveis
72410000-7,Servicios de proveedor,Serveis de proveïdor,Serveis
72411000-4,Proveedor de servicios de Internet (PSI),Proveïdor d'Internet (ISP),Serveis
72412000-1,Proveedor de servicios de correo electrónico,Proveïdor de correu electrònic,Serveis
72413000-8,Servicios de diseño de sitios web www,Serveis de disseny de llocs web (WWW),Serveis
72414000-5,Proveedores de motores de búsqueda en la web,Proveïdors de motors de cerca al web,Serveis
72415000-2,Servicios de hospedaje de operación de sitios web www,Serveis d'allotjament d'explotació de llocs web (WWW),Serveis
72416000-9,Proveedores de servicio de aplicaciones,Proveïdors de serveis d'aplicacions,Serveis
72417000-6,Nombres de dominio de Internet,Noms de domini d'Internet,Serveis
72420000-0,Servicios de desarrollo de Internet,Serveis de desenvolupament d'Internet,Serveis
72421000-7,Servicios de desarrollo de aplicaciones cliente en Internet o intranet,Serveis de desenvolupament d'aplicacions client a Internet o intranet,Serveis
72422000-4,Servicios de desarrollo de aplicaciones servidor en Internet o intranet,Serveis de desenvolupament d'aplicacions de servidor a Internet o intranet,Serveis
72500000-0,Servicios informáticos,Serveis informàtics,Serveis
72510000-3,Servicios de gestión relacionados con la informática,Serveis de gestió relacionats amb la informàtica,Serveis
72511000-0,Servicios de software de gestión de redes,Serveis de programes de gestió de xarxes,Serveis
72512000-7,Servicios de gestión de documentos,Serveis de gestió de documents,Serveis
72513000-4,Servicios de ofimática,Serveis d'ofimàtica,Serveis
72514000-1,Servicios de gestión de instalaciones informáticas,Serveis de gestió d'instal·lacions informàtiques,Serveis
72514100-2,Servicios de explotación de instalaciones que entrañan el manejo de ordenadores,Serveis d'explotació d'instal·lacions que impliquen activitats informàtiques,Serveis
72514200-3,Servicios de gestión de instalaciones para el desarrollo de sistemas informáticos,Serveis de gestió d'instal·lacions per al desenvolupament de sistemes informàtics,Serveis
72514300-4,Servicios de gestión de instalaciones para el mantenimiento de sistemas informáticos,Serveis de gestió d'instal·lacions per al manteniment de sistemes informàtics,Serveis
72540000-2,Servicios de actualización informática,Serveis d'actualització informàtica,Serveis
72541000-9,Servicios de expansión informática,Serveis d'ampliació informàtica,Serveis
72541100-0,Servicios de expansión de memoria,Serveis d'ampliació de memòria,Serveis
72590000-7,Servicios profesionales relacionados con la informática,Serveis informàtics professionals,Serveis
72591000-4,Elaboración de acuerdos de nivel de servicios,Desenvolupament d'acords de nivell de serveis,Serveis
72600000-6,Servicios de apoyo informático y de consultoría,Serveis de suport i d'assessorament informàtic,Serveis
72610000-9,Servicios de apoyo informático,Serveis de suport informàtic,Serveis
72611000-6,Servicios de apoyo informático técnico,Serveis de suport informàtic tècnic,Serveis
72700000-7,Servicios de red informática,Serveis de xarxa informàtica,Serveis
72710000-0,Servicios de red local,Serveis de xarxa local,Serveis
72720000-3,Servicios de red de amplia cobertura,Serveis de xarxa d'àrea estesa,Serveis
72800000-8,Servicios de ensayo y auditoría informáticos,Serveis d'assaig i auditoria informàtics,Serveis
72810000-1,Servicios de auditoría informática,Serveis d'auditoria informàtica,Serveis
72820000-4,Servicios de ensayo informático,Serveis d'assaig informàtic,Serveis
72900000-9,Servicios de copia de seguridad y de conversión informática de catálogos,Serveis de còpia de seguretat i de conversió informàtica de catàlegs,Serveis
72910000-2,Servicios de copia de seguridad,Serveis de còpia de seguretat,Serveis
72920000-5,Servicios de conversión informática de catálogos,Serveis de conversió informàtica de catàlegs,Serveis
73000000-2,Servicios de investigación y desarrollo y servicios de consultoría conexos,Serveis de recerca i desenvolupament i serveis d'assessorament afins,Serveis
73100000-3,Servicios de investigación y desarrollo experimental,Serveis de recerca i desenvolupament experimental,Serveis
73110000-6,Servicios de investigación,Serveis de recerca,Serveis
73111000-3,Servicios de laboratorio de investigación,Serveis de laboratori de recerca,Serveis
73112000-0,Servicios de investigación marina,Serveis de recerca marina,Serveis
73120000-9,Servicios de desarrollo experimental,Serveis de desenvolupament experimental,Serveis
73200000-4,Servicios de consultoría en investigación y desarrollo,Serveis d'assessorament en recerca i desenvolupament,Serveis
73210000-7,Servicios de consultoría en investigación,Serveis d'assessorament en recerca,Serveis
73220000-0,Servicios de consultoría en desarrollo,Serveis d'assessorament en desenvolupament,Serveis
73300000-5,Diseño y ejecución en materia de investigación y desarrollo,Disseny i execució en recerca i desenvolupament,Serveis
73400000-6,Servicios de investigación y desarrollo de materiales de seguridad y defensa,Serveis de recerca i desenvolupament de materials de seguretat i defensa,Serveis
73410000-9,Investigación y tecnología militares,Recerca i tecnologia militars,Serveis
73420000-2,Estudio de previabilidad y demostración tecnológica,Estudi de previabilitat i demostració tecnològica,Serveis
73421000-9,Desarrollo de equipos de seguridad,Desenvolupament d'equips de seguretat,Serveis
73422000-6,Desarrollo de armas de fuego y munición,Desenvolupament d'armes de foc i munició,Serveis
73423000-3,Desarrollo de vehículos militares,Desenvolupament de vehicles militars,Serveis
73424000-0,Desarrollo de buques de guerra,Desenvolupament de vaixells de guerra,Serveis
73425000-7,"Desarrollo de aeronaves militares, misiles y naves espaciales","Desenvolupament d'aeronaus militars, míssils i naus espacials",Serveis
73426000-4,Desarrollo de sistemas electrónicos militares,Desenvolupament de sistemes electrònics militars,Serveis
73430000-5,Ensayo y evaluación,Assaig i avaluació,Serveis
73431000-2,Ensayo y evaluación de equipos de seguridad,Assaig i avaluació d'equips de seguretat,Serveis
73432000-9,Ensayo y evaluación de armas de fuego y munición,Assaig i avaluació d'armes de foc i munició,Serveis
73433000-6,Ensayo y evaluación de vehículos militares,Assaig i avaluació de vehicles militars,Serveis
73434000-3,Ensayo y evaluación de buques de guerra,Assaig i avaluació de vaixells de guerra,Serveis
73435000-0,"Ensayo y evaluación de aeronaves militares, misiles y naves espaciales","Assaig i avaluació d'aeronaus militars, míssils i naus espacials",Serveis
73436000-7,Ensayo y evaluación de sistemas electrónicos militares,Assaig i avaluació de sistemes electrònics militars,Serveis
75000000-6,"Servicios de administración pública, defensa y servicios de seguridad social","Serveis de l'administració pública, de defensa i de la seguretat social",Serveis
75100000-7,Servicios de administración pública,Serveis de l'administració pública,Serveis
75110000-0,Servicios públicos generales,Serveis públics generals,Serveis
75111000-7,Servicios ejecutivos y legislativos,Serveis executius i legislatius,Serveis
75111100-8,Servicios ejecutivos,Serveis executius,Serveis
75111200-9,Servicios legislativos,Serveis legislatius,Serveis
75112000-4,Servicios administrativos para operaciones comerciales,Serveis administratius per a operacions comercials,Serveis
75112100-5,Servicios de administración de proyectos de desarrollo,Serveis administratius de projectes de desenvolupament,Serveis
75120000-3,Servicios administrativos de agencias,Serveis administratius d'agències,Serveis
75121000-0,Servicios administrativos educativos,Serveis administratius educatius,Serveis
75122000-7,Servicios administrativos relacionados con la asistencia sanitaria,Serveis administratius de la sanitat,Serveis
75123000-4,Servicios administrativos de alojamiento,Serveis administratius d'habitatge,Serveis
75124000-1,"Servicios administrativos en el ámbito del recreo, la cultura y la religión","Serveis administratius en l'àmbit del lleure, la cultura i la religió",Serveis
75125000-8,Servicios administrativos relacionados con asuntos turísticos,Serveis administratius relacionats amb el turisme,Serveis
75130000-6,Servicios de apoyo a los poderes públicos,Serveis de suport als poders públics,Serveis
75131000-3,Servicios gubernamentales,Serveis governamentals,Serveis
75131100-4,Servicios generales de personal para el gobierno,Serveis generals de personal per al govern,Serveis
75200000-8,Prestación de servicios para la comunidad,Prestació de serveis a la comunitat,Serveis
75210000-1,Servicios de asuntos exteriores y otros servicios,Serveis d'afers exteriors i altres serveis,Serveis
75211000-8,Servicios de asuntos exteriores,Serveis d'afers exteriors,Serveis
75211100-9,Servicios diplomáticos,Serveis diplomàtics,Serveis
75211110-2,Servicios consulares,Serveis consulars,Serveis
75211200-0,Servicios relacionados con la ayuda económica exterior,Serveis relacionats amb l'ajuda econòmica exterior,Serveis
75211300-1,Servicios relacionados con la ayuda militar exterior,Serveis relacionats amb l'ajuda militar exterior,Serveis
75220000-4,Servicios de defensa,Serveis de defensa,Serveis
75221000-1,Servicios de defensa militar,Serveis de defensa militar,Serveis
75222000-8,Servicios de defensa civil,Serveis de defensa civil,Serveis
75230000-7,Servicios de justicia,Serveis de la justícia,Serveis
75231000-4,Servicios judiciales,Serveis judicials,Serveis
75231100-5,Servicios administrativos relacionados con los tribunales de justicia,Serveis administratius dels tribunals de justícia,Serveis
75231200-6,Servicios relacionados con el encarcelamiento y la rehabilitación de delincuentes,Serveis relacionats amb l'empresonament i la rehabilitació de delinqüents,Serveis
75231210-9,Servicios de encarcelamiento,Serveis d'empresonament,Serveis
75231220-2,Servicios de escolta de prisioneros,Serveis d'escorta de presoners,Serveis
75231230-5,Servicios penitenciarios,Serveis penitenciaris,Serveis
75231240-8,Servicios de reinserción,Serveis de reinserció,Serveis
75240000-0,Servicios de seguridad y orden públicos,Serveis de seguretat i ordre públics,Serveis
75241000-7,Servicios de seguridad pública,Serveis de seguretat pública,Serveis
75241100-8,Servicios de policía,Serveis de policia,Serveis
75242000-4,Servicios públicos de seguridad ciudadana,Serveis públics de seguretat ciutadana,Serveis
75242100-5,Servicios de orden público,Serveis d'ordre públic,Serveis
75242110-8,Servicios de agentes judiciales,Serveis d'agents judicials,Serveis
75250000-3,Servicios de los cuerpos de bomberos y servicios de rescate,Serveis dels cossos de bombers i serveis de salvament,Serveis
75251000-0,Servicios de los cuerpos de bomberos,Serveis dels cossos de bombers,Serveis
75251100-1,Servicios de extinción de incendios,Serveis d'extinció d'incendis,Serveis
75251110-4,Servicios de prevención de incendios,Serveis de prevenció d'incendis,Serveis
75251120-7,Servicios de extinción de incendios forestales,Serveis d'extinció d'incendis forestals,Serveis
75252000-7,Servicios de rescate,Serveis de salvament,Serveis
75300000-9,Servicios de seguridad social de afiliación obligatoria,Serveis de seguretat social d'afiliació obligatòria,Serveis
75310000-2,Servicios de prestaciones sociales,Serveis de prestacions socials,Serveis
75311000-9,Prestaciones de enfermedad,Subsidis de malaltia,Serveis
75312000-6,Prestaciones de maternidad,Subsidis de maternitat,Serveis
75313000-3,Prestaciones de invalidez,Subsidis d'invalidesa,Serveis
